#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
3.68306000e+02 4.40897850e-03 6.723637576362900290e+03 1.387392983718700634e+02 1.517714307285800351e+04 
5.50932000e+02 6.27776308e-03 9.159117967763151682e+03 1.525443616215948737e+02 1.624000021571514662e+04 
5.76021000e+02 5.25613834e-03 8.423652022392509025e+03 1.902294956836121287e+02 1.730285735857229156e+04 
6.53299000e+02 8.42836370e-03 8.490722201136943113e+03 1.347118118678405949e+02 1.836571450142943286e+04 
7.45750000e+02 9.11209644e-03 8.659323714786409255e+03 1.422294956836121287e+02 1.942857164428657416e+04 
8.69221000e+02 1.07168428e-02 9.077923290648614056e+03 1.409321909536116948e+02 2.049142878714371909e+04 
1.01597000e+03 1.27756465e-02 9.601038000500695489e+03 1.381493184568102777e+02 2.155428593000086039e+04 
4.48165000e+02 5.24696712e-03 7.078150772565514671e+03 1.483392983718700862e+02 1.666606399843558029e+04 
5.33745000e+02 6.49032010e-03 7.446875264481927843e+03 1.429443616215948509e+02 1.772892114129272159e+04 
6.17680000e+02 6.79778049e-03 7.665351862077186524e+03 1.579392983718700805e+02 1.879177828414986652e+04 
7.21542000e+02 8.25949492e-03 8.019865058279799996e+03 1.518294956836121230e+02 1.985463542700700782e+04 
8.59892000e+02 8.63280871e-03 8.607066147791472758e+03 1.731118118678406006e+02 2.091749256986415276e+04 
8.50629000e+02 1.00044543e-02 7.717609429072123021e+03 1.477493184568102720e+02 2.198034971272129405e+04 
5.30100000e+02 6.28168687e-03 9.548780433505758992e+03 1.466838729161368065e+02 1.560320685557843717e+04 
7.23531000e+02 8.04631296e-03 9.836223450963938376e+03 1.562838729161368008e+02 1.795169717953371583e+04 
5.61179000e+02 6.09158890e-03 6.804832253477437007e+03 1.601321909536116834e+02 1.901455432239086076e+04 
6.88482000e+02 7.21390717e-03 7.481937736678223700e+03 1.658838729161367951e+02 2.007741146524800206e+04 
9.55022000e+02 1.02801503e-02 9.365366308106795259e+03 1.614294956836121173e+02 2.114026860810514336e+04 
1.00135000e+03 9.21070751e-03 8.894509165249652142e+03 1.889321909536116948e+02 2.220312575096228829e+04 
4.75578000e+02 5.24808664e-03 8.324959842010477587e+03 1.573493184568102663e+02 1.582598289381943141e+04 
5.29157000e+02 6.70948606e-03 8.136209004934329641e+03 1.370838729161368121e+02 1.688884003667657453e+04 
7.24956000e+02 8.36999420e-03 8.859446693053356285e+03 1.505321909536116891e+02 1.893540845068562703e+04 
8.95475000e+02 7.83951205e-03 9.801160978767642519e+03 1.985321909536116891e+02 1.999826559354276833e+04 
8.32346000e+02 8.24358247e-03 8.217403682048865448e+03 1.754838729161368178e+02 2.106112273639991326e+04 
9.37180000e+02 9.72072331e-03 8.388589550196213168e+03 1.675392983718700748e+02 2.212397987925705820e+04 
5.35102000e+02 4.58070349e-03 9.130180857643552372e+03 1.957493184568102720e+02 1.574683702211419950e+04 
6.27934000e+02 6.53779630e-03 9.737531270581906938e+03 1.669493184568102606e+02 1.680969416497134080e+04 
6.41237000e+02 6.81651831e-03 8.795816984867620704e+03 1.635118118678406063e+02 1.787255130782848573e+04 
6.06661000e+02 6.21281373e-03 6.912388413439050055e+03 1.697321909536116777e+02 1.961185089117132884e+04 
7.06807000e+02 8.51206460e-03 7.246752286214979904e+03 1.443118118678405892e+02 2.067470803402847378e+04 
7.56130000e+02 8.53808195e-03 7.011080593821081493e+03 1.539118118678405835e+02 2.173756517688561507e+04 
4.26340000e+02 4.00769515e-03 7.383245556296192262e+03 1.717443616215948623e+02 1.536042231974275819e+04 
5.51212000e+02 5.40911207e-03 8.961579343994086230e+03 1.771392983718700691e+02 1.642327946259990131e+04 
6.51173000e+02 6.61799521e-03 9.330303835910499402e+03 1.710294956836121116e+02 1.748613660545704261e+04 
5.22577000e+02 5.10191665e-03 6.607293629708371554e+03 1.765493184568102834e+02 1.854899374831418754e+04 
7.05615000e+02 6.58884895e-03 7.275689396334579214e+03 1.861493184568102777e+02 2.060938882914685382e+04 
8.49311000e+02 8.13987280e-03 7.917732407339070960e+03 1.813443616215948566e+02 2.167224597200399512e+04 
4.88084000e+02 4.30686843e-03 8.688260824906008565e+03 1.867392983718700634e+02 1.529510311486113824e+04 
4.94680000e+02 4.63974171e-03 7.854102699153335379e+03 1.793321909536117005e+02 1.635796025771827954e+04 
5.36279000e+02 4.75310952e-03 7.549007915422657788e+03 1.909443616215948509e+02 1.742081740057542265e+04 
7.51340000e+02 7.05597746e-03 9.629975110620292980e+03 1.850838729161368121e+02 1.848367454343256759e+04 
8.08562000e+02 7.78021980e-03 9.266674127724763821e+03 1.806294956836121059e+02 1.954653168628970889e+04 
7.01369000e+02 6.26216493e-03 6.775895143357836787e+03 1.946838729161368065e+02 2.129166488536806719e+04 
4.23986000e+02 4.31311045e-03 7.952794879535366817e+03 1.621443616215948680e+02 1.491452202822520849e+04 
4.53790000e+02 3.51833658e-03 6.976018121624784726e+03 1.998294956836120946e+02 1.597737917108235160e+04 
4.94981000e+02 4.52606456e-03 7.194494719220043407e+03 1.827118118678405949e+02 1.704023631393949472e+04 
5.83456000e+02 5.12629080e-03 7.746546539191722331e+03 1.963392983718700577e+02 1.810309345679663602e+04 
6.86719000e+02 5.95230827e-03 8.188466571929266138e+03 2.005443616215948452e+02 1.916595059965378096e+04 
8.81678000e+02 7.96829028e-03 9.432436486851229347e+03 1.923118118678405892e+02 2.022880774251092225e+04 
