#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
4.40762000e+02 5.57527255e-03 8.430250709897518391e+03 1.374196556858788085e+02 1.515123457687749033e+04 
4.12436000e+02 3.82996503e-03 6.885633518268080479e+03 1.714935233040832827e+02 1.554281352424591023e+04 
4.06987000e+02 5.26111954e-03 7.042461236213308439e+03 1.344667285652718647e+02 1.593439247161433195e+04 
5.19653000e+02 5.54298330e-03 8.551855076568248478e+03 1.629616126882521598e+02 1.632597141898275368e+04 
4.85649000e+02 4.69295317e-03 7.406054570899659666e+03 1.746067257568703610e+02 1.671755036635117358e+04 
5.16834000e+02 4.83722353e-03 7.579528255110186365e+03 1.816804099673966562e+02 1.710912931371959712e+04 
5.17563000e+02 4.47106028e-03 7.105495802093119892e+03 1.927145759356621966e+02 1.750070826108801703e+04 
5.78868000e+02 5.81641372e-03 7.926475623531238853e+03 1.729968094293936645e+02 1.789228720845643693e+04 
5.88609000e+02 6.13701621e-03 7.717454263310550232e+03 1.667158891712197430e+02 1.828386615582485683e+04 
6.58249000e+02 8.44576232e-03 8.273422991952291341e+03 1.354529471410695578e+02 1.867544510319328037e+04 
7.03219000e+02 7.91327181e-03 8.474843763841223335e+03 1.544524347365879748e+02 1.906702405056170028e+04 
5.79670000e+02 7.40141689e-03 6.712159834057554690e+03 1.361251022514516933e+02 1.945860299793012018e+04 
7.90692000e+02 9.20287074e-03 8.793844044583871437e+03 1.493120226193117333e+02 1.985018194529854372e+04 
6.41588000e+02 7.02035502e-03 6.861331940166602180e+03 1.588494410083410457e+02 2.024176089266696363e+04 
7.52968000e+02 9.39766927e-03 7.753001939320713063e+03 1.392383047042387716e+02 2.063333984003538353e+04 
7.54561000e+02 9.50167435e-03 7.483122684412957824e+03 1.380035706705350265e+02 2.102491878740380344e+04 
9.91133000e+02 1.27491741e-02 9.487738781425974594e+03 1.350521861871498288e+02 2.141649773477222698e+04 
1.04620000e+03 1.32589442e-02 9.661212465636501292e+03 1.370665917878711468e+02 2.180807668214064688e+04 
1.10305000e+03 1.39525086e-02 9.834686149847027991e+03 1.373209046097263695e+02 2.219965562950907042e+04 
4.44039000e+02 4.92837955e-03 7.949579206045977116e+03 1.540386021526047102e+02 1.553377519921998282e+04 
4.37494000e+02 5.20683415e-03 7.555226677008708066e+03 1.456627125029393142e+02 1.592535414658840455e+04 
4.35319000e+02 4.27446383e-03 6.802978152029902049e+03 1.675330415463440374e+02 1.631693309395682627e+04 
4.59751000e+02 5.66116960e-03 7.228576811516357338e+03 1.411652304820252368e+02 1.670851204132524799e+04 
4.91974000e+02 5.83247956e-03 7.381752992798181367e+03 1.466224139131019228e+02 1.710009098869366790e+04 
5.28506000e+02 6.19015551e-03 7.575524179937409826e+03 1.484061739925986103e+02 1.749166993606208780e+04 
6.03340000e+02 7.30352322e-03 8.269418916779515712e+03 1.435841611266791062e+02 1.788324888343051134e+04 
6.03667000e+02 6.99615965e-03 7.922471548358462314e+03 1.499769679784266998e+02 1.827482783079893125e+04 
6.47219000e+02 5.98086822e-03 8.138134236925398000e+03 1.881048177660971987e+02 1.866640677816735115e+04 
6.04753000e+02 7.56243714e-03 7.298984361676929439e+03 1.389897892463326912e+02 1.905798572553577105e+04 
7.62797000e+02 9.63150045e-03 8.840232644198382332e+03 1.376283883767621035e+02 1.944956467290419459e+04 
6.82873000e+02 8.39729470e-03 7.602631837624924628e+03 1.413324897820722867e+02 1.984114362027261450e+04 
6.67450000e+02 7.64333769e-03 7.144409232287022860e+03 1.517757567978147222e+02 2.023272256764103804e+04 
8.69624000e+02 1.03859046e-02 8.963313653621620688e+03 1.454948365396408008e+02 2.062430151500945794e+04 
8.16604000e+02 8.87410951e-03 8.099949307741764642e+03 1.599225489351012186e+02 2.101588046237787785e+04 
9.72389000e+02 8.81818846e-03 9.289963519113971415e+03 1.916416598713603321e+02 2.140745940974630139e+04 
9.28937000e+02 9.58938915e-03 8.564044168075070047e+03 1.683420558635212103e+02 2.179903835711472129e+04 
8.85933000e+02 1.10038429e-02 7.890927947521076931e+03 1.398912337315520915e+02 2.219061730448314120e+04 
5.12820000e+02 6.33968986e-03 9.810384571745549692e+03 1.406034338931343086e+02 1.514219625185156292e+04 
3.85332000e+02 4.41075227e-03 6.595272877249048179e+03 1.450772548810613216e+02 1.567054570017765400e+04 
4.05837000e+02 4.83276829e-03 6.768746561459573968e+03 1.429032837679003762e+02 1.606212464754607572e+04 
4.28050000e+02 5.25527173e-03 6.942220245670100667e+03 1.415404127757981598e+02 1.645370359491449562e+04 
4.72866000e+02 4.72238824e-03 7.115693929880626456e+03 1.692512346332472362e+02 1.684528254228291553e+04 
6.09450000e+02 7.08093423e-03 8.990421311309135490e+03 1.496003155621221765e+02 1.723686148965133907e+04 
5.35613000e+02 5.01055009e-03 7.462641298301679853e+03 1.833986030542998549e+02 1.762844043701975897e+04 
5.65601000e+02 6.02497671e-03 7.636114982512205643e+03 1.631790470659565813e+02 1.802001938438817888e+04 
6.75228000e+02 5.96115443e-03 8.725328760778775177e+03 1.968945399997458594e+02 1.841159833175660242e+04 
6.72325000e+02 5.85291877e-03 8.330009719354311528e+03 1.996750454920492643e+02 1.880317727912502232e+04 
7.82543000e+02 9.57950416e-03 9.310261022042672266e+03 1.419579944343776390e+02 1.919475622649344223e+04 
6.20012000e+02 6.16134897e-03 7.082210784993345442e+03 1.749171507552071603e+02 1.958633517386186577e+04 
7.58300000e+02 7.24952067e-03 8.319811591566804054e+03 1.818085469257950990e+02 1.997791412123028567e+04 
8.22127000e+02 8.12990116e-03 8.676957087775363107e+03 1.757551238522720496e+02 2.036949306859870558e+04 
8.69974000e+02 1.05878112e-02 8.850430771985889805e+03 1.427751468095019334e+02 2.076107201596712548e+04 
9.20350000e+02 1.14738210e-02 9.023904456196416504e+03 1.393664416626372144e+02 2.115265096333554902e+04 
9.73020000e+02 1.17865333e-02 9.197378140406941384e+03 1.434280758368152533e+02 2.154422991070396893e+04 
8.81255000e+02 1.07738798e-02 8.031434023936668382e+03 1.421258703976761524e+02 2.193580885807239247e+04 
4.83999000e+02 5.18426712e-03 9.544325508827994781e+03 1.616077554312194309e+02 1.488738780544081237e+04 
4.86902000e+02 5.93815008e-03 9.151421557114381358e+03 1.425266313515958529e+02 1.527896675280923228e+04 
5.76391000e+02 6.79414471e-03 9.452191105415813581e+03 1.474603870101668122e+02 1.634996664719099681e+04 
4.41681000e+02 5.19146015e-03 6.896263662377539731e+03 1.473787505260616513e+02 1.674154559455941853e+04 
4.95727000e+02 4.84540404e-03 7.255684469203872140e+03 1.740699173561538373e+02 1.713312454192783844e+04 
4.96842000e+02 6.26730870e-03 7.097292131662240536e+03 1.377956476768091250e+02 1.752470348929626198e+04 
5.42925000e+02 6.47375657e-03 7.416684715009118008e+03 1.457751805140485999e+02 1.791628243666468188e+04 
5.80308000e+02 5.43714848e-03 7.590158399219644707e+03 1.855276770709966456e+02 1.830786138403310179e+04 
6.19446000e+02 7.01946956e-03 7.763632083430171406e+03 1.533856731252914187e+02 1.869944033140152169e+04 
6.60339000e+02 6.04435778e-03 7.937105767640697195e+03 1.899024922733246967e+02 1.909101927876994159e+04 
7.02741000e+02 7.57387435e-03 8.110579451851222984e+03 1.612683716529949152e+02 1.948259822613836513e+04 
6.67390000e+02 6.76886720e-03 7.402050495726883128e+03 1.713803086499439985e+02 1.987417717350678504e+04 
7.93330000e+02 7.36815291e-03 8.457526820272276382e+03 1.871441778504462832e+02 2.026575612087520858e+04 
6.83391000e+02 8.09438222e-03 7.018006617241614549e+03 1.467356285672411786e+02 2.065733506824362848e+04 
7.89139000e+02 7.65003792e-03 7.799390538935224868e+03 1.792919659575352114e+02 2.104891401561204839e+04 
9.41500000e+02 1.05220897e-02 8.977947872903854659e+03 1.554798582031249339e+02 2.144049296298046829e+04 
9.50944000e+02 1.02709967e-02 8.743802665007042378e+03 1.608829969882937974e+02 2.183207191034889183e+04 
1.01906000e+03 1.19602028e-02 9.052619758602811999e+03 1.480301820016682939e+02 2.222365085771731538e+04 
4.08295000e+02 5.00631370e-03 7.696675747022438372e+03 1.400473190214159445e+02 1.517522980508573346e+04 
5.37006000e+02 6.35132976e-03 9.717799193038521480e+03 1.469649179420784151e+02 1.556680875245415518e+04 
4.72830000e+02 3.85573317e-03 7.491356600708075348e+03 1.955792629305432229e+02 1.595838769982257509e+04 
5.69802000e+02 6.43933548e-03 9.140791413004923015e+03 1.538093127777674738e+02 1.653097393285237195e+04 
5.41009000e+02 6.23120813e-03 8.284053136061749683e+03 1.509155926313248131e+02 1.692255288022079185e+04 
5.95401000e+02 6.96364270e-03 8.705672390181760420e+03 1.486140969863244834e+02 1.731413182758921175e+04 
5.72354000e+02 6.36621537e-03 8.003543737044537011e+03 1.562732388187287711e+02 1.770571077495763529e+04 
5.46964000e+02 5.57896199e-03 7.323399204661480326e+03 1.704206072397814182e+02 1.809728972232605520e+04 
5.70571000e+02 7.06424480e-03 7.317882916497548649e+03 1.403867027996404886e+02 1.848886866969447874e+04 
