#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
5.88065000e+02 5.95165168e-03 7.967980927272027657e+03 1.717512097089493182e+02 1.798597636495870393e+04 
6.10525000e+02 6.53242082e-03 8.147762745453846946e+03 1.624539800705947528e+02 1.812124909223143186e+04 
6.15532000e+02 6.61964724e-03 8.093068878690040037e+03 1.616267368725856386e+02 1.825652181950415979e+04 
6.22300000e+02 6.65396866e-03 8.061761337589934556e+03 1.625606805805294925e+02 1.839179454677688773e+04 
6.30404000e+02 6.33497453e-03 8.047261163490888066e+03 1.729730278907674972e+02 1.852706727404961566e+04 
6.29797000e+02 6.77899128e-03 7.923767313409284725e+03 1.614835251508173428e+02 1.866234000132233996e+04 
6.71701000e+02 6.87219755e-03 8.327544563635665327e+03 1.698915896714385951e+02 1.879761272859506789e+04 
6.91214000e+02 7.32892646e-03 8.447399109090210914e+03 1.639271615144537293e+02 1.893288545586779583e+04 
6.89021000e+02 7.24864065e-03 8.301470428499025729e+03 1.652179920033137535e+02 1.906815818314052376e+04 
7.15036000e+02 7.62499203e-03 8.493727168459994573e+03 1.629892312768279226e+02 1.920343091041325169e+04 
7.29469000e+02 7.67712138e-03 8.543842450226820802e+03 1.651489796962719083e+02 1.933870363768597599e+04 
5.92733000e+02 6.29066060e-03 7.948963595286670170e+03 1.637824987623476716e+02 1.807832161954603725e+04 
6.06649000e+02 6.30399682e-03 8.014308986641813135e+03 1.672730691892865025e+02 1.821359434681876519e+04 
6.35667000e+02 6.77031582e-03 8.272850696871857508e+03 1.631984824362220365e+02 1.834886707409149312e+04 
6.42862000e+02 6.86475733e-03 8.244206086590456835e+03 1.627743556396773954e+02 1.848413980136422106e+04 
6.48359000e+02 6.90773821e-03 8.194090804823630606e+03 1.631441896719571787e+02 1.861941252863694535e+04 
6.81508000e+02 7.32250479e-03 8.488309049832125311e+03 1.617674130950097435e+02 1.875468525590967329e+04 
6.66375000e+02 7.07947227e-03 8.181615883044480142e+03 1.636076146438319370e+02 1.888995798318240122e+04 
6.96390000e+02 7.47263259e-03 8.428381777104852517e+03 1.619766642544038575e+02 1.902523071045512916e+04 
6.88901000e+02 7.16734949e-03 8.220018787700262692e+03 1.670639872828118939e+02 1.916050343772785709e+04 
6.80348000e+02 6.92651937e-03 8.004496995681366570e+03 1.707294418282664310e+02 1.929577616500058139e+04 
6.28061000e+02 6.75742736e-03 8.548236322559398104e+03 1.615525374578592164e+02 1.794304889227330932e+04 
6.18015000e+02 6.59648866e-03 8.207690018181119740e+03 1.628485550544038176e+02 1.816493417972457610e+04 
6.09847000e+02 6.41312890e-03 7.980309696791171518e+03 1.652921914180401757e+02 1.830020690699730403e+04 
6.47458000e+02 6.93924619e-03 8.346897527127252033e+03 1.621767145555391778e+02 1.843547963427003197e+04 
6.38110000e+02 6.72630152e-03 8.107188436218160859e+03 1.648976164342311108e+02 1.857075236154275990e+04 
6.57622000e+02 6.95431725e-03 8.233942815439222613e+03 1.643660078537753577e+02 1.870602508881548783e+04 
6.76084000e+02 7.09441485e-03 8.343258222500193369e+03 1.656421187998583946e+02 1.884129781608821213e+04 
6.81175000e+02 7.33832932e-03 8.286970254399979240e+03 1.613388623987113135e+02 1.897657054336094006e+04 
6.72369000e+02 7.12622215e-03 8.064424268408639364e+03 1.639961738214955744e+02 1.911184327063366800e+04 
6.95760000e+02 7.19703516e-03 8.227042981672706446e+03 1.680314623992298948e+02 1.924711599790639593e+04 
6.19753000e+02 6.24059163e-03 8.481252246680844110e+03 1.726231005089492498e+02 1.789438872517912387e+04 
6.32565000e+02 6.71763532e-03 8.526679345309070413e+03 1.636757982524129318e+02 1.802966145245184816e+04 
