#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
6.03972000e+02 6.38950850e-03 8.058748074826539778e+03 1.643045723993760703e+02 1.812339487172273948e+04 
6.31976000e+02 6.72818408e-03 8.160698803386848340e+03 1.632673998152252182e+02 1.842099487172274166e+04 
6.65593000e+02 7.11541002e-03 8.322428074826540978e+03 1.625900264784440026e+02 1.871859487172274021e+04 
7.04649000e+02 7.17695335e-03 8.535237229032474715e+03 1.706540264784439955e+02 1.901619487172273875e+04 
7.17385000e+02 7.61705308e-03 8.424378803386847721e+03 1.636951794865279908e+02 1.931379487172274094e+04 
6.05644000e+02 6.36947921e-03 7.926908074826539632e+03 1.652780264784440192e+02 1.829863864582773022e+04 
6.39822000e+02 6.65976227e-03 8.106493679657015491e+03 1.669925723993760585e+02 1.859623864582772876e+04 
6.71291000e+02 7.08483349e-03 8.238333679657014727e+03 1.646903107535697472e+02 1.889383864582773094e+04 
7.03772000e+02 7.37088445e-03 8.370173679657014873e+03 1.659553998152252063e+02 1.919143864582772949e+04 
6.28713000e+02 6.74570810e-03 8.502013679657015018e+03 1.620023107535697591e+02 1.800103864582772803e+04 
6.70696000e+02 7.00656872e-03 8.556218803386847867e+03 1.663831794865279790e+02 1.853117011914522300e+04 
6.53651000e+02 6.69592295e-03 8.077667622675087841e+03 1.696805723993760466e+02 1.882877011914522154e+04 
6.85569000e+02 7.09441359e-03 8.209507622675087987e+03 1.679660264784440074e+02 1.912637011914522373e+04 
6.12328000e+02 6.35899671e-03 8.341347622675088132e+03 1.673783107535697638e+02 1.793597011914522227e+04 
6.42953000e+02 6.61012665e-03 8.473187622675088278e+03 1.690711794865279671e+02 1.823357011914522445e+04 
6.57646000e+02 7.07280832e-03 8.007877229032474133e+03 1.616165723993760537e+02 1.896883355097136155e+04 
6.89784000e+02 6.88983753e-03 8.139717229032474279e+03 1.740193998152251993e+02 1.926643355097136373e+04 
6.16749000e+02 6.30369548e-03 8.271557229032474424e+03 1.700663107535697520e+02 1.807603355097136227e+04 
6.47519000e+02 6.49309517e-03 8.403397229032474570e+03 1.733420264784440121e+02 1.837363355097136082e+04 
6.34488000e+02 6.53968205e-03 7.974653679657015346e+03 1.686433998152251945e+02 1.867123355097136300e+04 
6.60538000e+02 6.70130949e-03 7.945827622675087696e+03 1.713313998152252111e+02 1.908366337278806532e+04 
5.86453000e+02 5.90090165e-03 8.028858803386848194e+03 1.727543107535697686e+02 1.789326337278806386e+04 
6.18504000e+02 6.25934558e-03 8.190588074826539923e+03 1.717591794865279837e+02 1.819086337278806241e+04 
6.46989000e+02 6.44670259e-03 8.292538803386847576e+03 1.744471794865279719e+02 1.848846337278806459e+04 
6.81126000e+02 6.86849767e-03 8.454268074826541124e+03 1.723685723993760632e+02 1.878606337278806313e+04 
